r13l0 st=ERR dec={'dir': '随机', 'strength': 50.23543641852529, 'layer': 62, 'temp': 0.9863506783457402, 'scale': 1.6879214948568366} sc=5.97
r13l1 st=ERR dec={'dir': '反身', 'strength': 89.74737449780403, 'layer': 51, 'temp': 0.8229930886379924, 'scale': 1.6463907108985958} sc=5.97
r13l2 st=ERR dec={'dir': '身份', 'strength': 47.77011534702104, 'layer': 0, 'temp': 1.0443233532907568, 'scale': 1.0729562512390336} sc=5.97
r13l3 st=ERR dec={'dir': '攻拒', 'strength': 33.034118453898316, 'layer': 55, 'temp': 0.5368312109297172, 'scale': 1.528869417521949} sc=5.97
r14l0 st=ERR dec={'dir': '反身', 'strength': 89.46534741054485, 'layer': 59, 'temp': 1.130897473846854, 'scale': 0.9100226674331171} sc=5.97
r14l1 st=ERR dec={'dir': '攻身', 'strength': 10.489469003579439, 'layer': 54, 'temp': 0.6746055573973011, 'scale': 1.5527604478629886} sc=5.97
r14l2 st=ERR dec={'dir': '随机', 'strength': 45.50687403780944, 'layer': 63, 'temp': 0.7848094789239082, 'scale': 1.287880146325112} sc=5.97
r14l3 st=ERR dec={'dir': '攻身', 'strength': 59.11378903084215, 'layer': 52, 'temp': 0.4438690571386298, 'scale': 1.342385654778032} sc=5.97
# 皮层提炼 r15: 皮层规律: 区域0:随机/18分(n=22); 区域1:随机/18分(n=4); 区域2:攻拒2/19分(n=2); 区域3:身份/18分(n=2); 区域4:攻拒2/16分(n=4); 区域5:反攻/18分(n=1); 区域6:身攻/6分(n=23); 区域7:反身份/19分(n=7)
r15l0 st=ERR dec={'dir': '攻击', 'strength': 16.063364373887413, 'layer': 57, 'temp': 0.9809463269264126, 'scale': 1.6766462123776023} sc=5.97
r15l1 st=ERR dec={'dir': '随机', 'strength': 61.64610801521414, 'layer': 53, 'temp': 0.42361849219868336, 'scale': 0.7399040350708181} sc=5.97
r15l2 st=ERR dec={'dir': '反身份', 'strength': 93.7790800187323, 'layer': 53, 'temp': 0.8352793145923669, 'scale': 1.1936091041225607} sc=5.97
r15l3 st=ERR dec={'dir': '身份', 'strength': 38.40878868237897, 'layer': 52, 'temp': 0.4773686417590559, 'scale': 1.255666797103298} sc=5.97
# r15 best=20.91 mem={'n': 69, 'timelines': 4, 'best_score': 20.911451013292197}
# 皮层提炼 r16: 皮层规律: 区域0:攻拒2/18分(n=6); 区域1:反攻/18分(n=1); 区域2:随机/18分(n=22); 区域3:反身份/19分(n=8); 区域4:身攻/6分(n=27); 区域5:身份/16分(n=5)
r16l0 st=ERR dec={'dir': '拒攻', 'strength': 30.644408567669807, 'layer': 53, 'temp': 0.567962454281081, 'scale': 0.5277136658314527} sc=5.97
r16l1 st=ERR dec={'dir': '反身份', 'strength': 68.1584611213457, 'layer': 50, 'temp': 0.8867507795429231, 'scale': 0.5326778858759601} sc=5.97
r16l2 st=ERR dec={'dir': '攻击', 'strength': 22.263708549907008, 'layer': 59, 'temp': 0.8822223601630691, 'scale': 0.9421880782465537} sc=5.97
r16l3 st=ERR dec={'dir': '身攻', 'strength': 72.29762331821777, 'layer': 54, 'temp': 0.6634187407179255, 'scale': 1.447759454607009} sc=5.97
